통신판매번호,신고기관명,상호,사업자등록번호,법인여부,대표자명,전화번호,전자우편,신고일자,사업장소재지,사업장소재지(도로명),업소상태,신고기관 대표연락처,판매방식,취급품목,인터넷도메인,호스트서버소재지
2024-서울성북-1558,서울특별시 성북구,주식회사 비투케이브랜딩,784-81-03249,법인,김도현,'010 - 2083 - 6355,bestkimdo@naver.com,20241226,서울특별시 성북구 정릉동 900-3  ,서울특별시 성북구 정릉로10길 62 (정릉동),정상영업,02-2241-3966,인터넷 기타,교육/도서/완구/오락,https://smartstore.naver.com/b2kbrandingco,null
2024-서울성북-1536,서울특별시 성북구,주식회사 도미넌트7,332-87-02643,법인,김형석,'010 - 5496 - 8880,dominant7@dominant-7.com,20241213,서울특별시 성북구 삼선동3가 116 삼선 SK VIEW 아파트  ,서울특별시 성북구 삼선교로16길 35^ 105동 1404호 (삼선동3가^ 삼선 SK VIEW 아파트),정상영업,02-2241-3966,인터넷,종합몰 가전 컴퓨터/사무용품 가구/수납용품 의류/패션/잡화/뷰티,https://smartstore.naver.com/euro-hit,null
2024-서울성북-1521,서울특별시 성북구,주식회사 오토기어드 (Autogeared Co.^Ltd.),149-88-02688,법인,신희찬,'010 - 4130 - 3533,admin@autogeared.com,20241210,서울특별시 성북구 안암동5가 160-28  ,서울특별시 성북구 개운사길 83-13^ 307호 (안암동5가),정상영업,02-2241-3966,인터넷,가전,http://smartstore.naver.com/auto_geared,null
2024-서울성북-1517,서울특별시 성북구,주식회사 스피닛,407-87-03233,법인,PARK PAUL KIESUK(박기석),'010 - 9711 - 8590,admin@5dshop.co.kr,20241206,서울특별시 성북구 성북동 132-3 운석빌딩  ,서울특별시 성북구 성북로 49^ 운석빌딩 2층 201호 (성북동),정상영업,02-2241-3966,인터넷,종합몰 건강/식품 기타,네이버 스마트스토어,null
2024-서울성북-1508,서울특별시 성북구,주식회사스카이위드컴퍼니,450-81-03346,법인,김선우,'010 - 3724 - 6014,pilatesgureum@naver.com,20241203,서울특별시 성북구 삼선동5가 63-8  ,서울특별시 성북구 삼선교로18나길 9^ 101호 (삼선동5가),정상영업,02-2241-3966,인터넷 TV홈쇼핑 카달로그 신문잡지 기타,건강/식품,쿠팡,null
2024-서울성북-1472,서울특별시 성북구,주식회사 레오컴퍼니,363-87-02972,법인,박래현,'010 - 4120 - 1359,dofi@leocompany.kr,20241122,서울특별시 성북구 정릉동 산 16-1 서경대학교 ?? ,서울특별시 성북구 서경로 124^ 서경대학교 유담관 1619호 (정릉동),정상영업,02-2241-3966,인터넷,기타,Google Play.App Store,null
2024-서울성북-1465,서울특별시 성북구,키후위키 협동조합,680-86-03281,법인,신영은,'010 - 2736 - 1636,keywhowekey@gmail.com,20241121,서울특별시 성북구 종암동 80-8 성북구마을사회적경제센터  ,서울특별시 성북구 종암로25길 29^ 성북구마을사회적경제센터 406호 (종암동),정상영업,02-2241-3966,인터넷,종합몰 의류/패션/잡화/뷰티,https://keywhowekey.life/,서울특별시 성동구 왕십리로 115^ 헤이그라운드 서울숲점 4층 S423호 (성수동1가)
2024-서울성북-1461,서울특별시 성북구,주식회사 더약솔루션,418-86-01785,법인,김병주^장경일,'010 - 7321 - 7644,admin1@charmacist.com,20241120,서울특별시 성북구 종암동 3-1237  ,서울특별시 성북구 종암로 120^ 3층 311호 (종암동),정상영업,02-2241-3966,인터넷,건강/식품,네이버스마트스토어,null
2024-서울성북-1457,서울특별시 성북구,주식회사 투모(TUMMO),864-81-03303,법인,김정헌,'010 - 7770 - 2546,classyof@naver.com,20241120,서울특별시 성북구 보문동7가 13 대웅빌딩  ,서울특별시 성북구 안암로3길 45^ 대웅빌딩 지층 (보문동7가),정상영업,02-2241-3966,인터넷,의류/패션/잡화/뷰티,www.tummo.kr,서울특별시 금천구 가산디지털1로 189^ (주)LG 가산 디지털센터 3층 (가산동)
2024-서울성북-1443,서울특별시 성북구,주식회사 스튜디오알투지,103-88-00141,법인,김유,'010 - 2251 - 0903,tomandjerry@studior2g.com,20241118,서울특별시 성북구 종암동 20-5  ,서울특별시 성북구 종암로 63^ 5층 501호 (종암동),정상영업,02-2241-3966,인터넷,기타,https://studior2g.com,null
2024-서울성북-1447,서울특별시 성북구,주식회사 므모(meumo corp.),671-88-03409,법인,권형안,'010 - 9064 - 8696,khabrian129@gmail.com,20241118,서울특별시 성북구 삼선동5가 261 성북빌딩  ,서울특별시 성북구 삼선교로24길 37^ 성북빌딩 502호 (삼선동5가),정상영업,02-2241-3966,인터넷 기타,종합몰,네이버스마트스토어,null
2024-서울성북-1437,서울특별시 성북구,주식회사 슈플레닝,858-87-03538,법인,이수미,'02-923-8883,leshum@naver.com,20241115,서울특별시 성북구 안암동2가 139-14 은정빌딩  ,서울특별시 성북구 고려대로 21^ 은정빌딩 3층 (안암동2가),정상영업,02-2241-3966,인터넷,종합몰 의류/패션/잡화/뷰티,leshum.com,null
2024-서울성북-1431,서울특별시 성북구,금성인커피 주식회사,856-86-03312,법인,김성인,'010 - 4332 - 1541,goldstarcoffee1@naver.com,20241114,서울특별시 성북구 정릉동 266-343  ,서울특별시 성북구 서경로 105^ 3층 (정릉동),정상영업,02-2241-3966,인터넷,건강/식품 기타,https://smartstore.naver.com/venusian_coffee,null
2024-서울성북-1409,서울특별시 성북구,주식회사 아이엠제이그룹,597-81-01856,법인,임지혁,'010 - 6302 - 7002,contact@gftcore.com,20241106,서울특별시 성북구 성북동1가 115-16 뚜알다레니에  ,서울특별시 성북구 창경궁로43길 46^ 뚜알다레니에 5층 (성북동1가),정상영업,02-2241-3966,인터넷,종합몰 교육/도서/완구/오락,www.eurartspace.com,null
2024-서울성북-1375,서울특별시 성북구,주식회사 성북동익스체인지,295-88-02583,법인,김주현,'010 - 2531 - 0960,01025310960@hanmail.net,20241025,서울특별시 성북구 성북동1가 95  ,서울특별시 성북구 성북로7길 21^ 1층 (성북동1가),정상영업,02-2241-3966,인터넷 기타,의류/패션/잡화/뷰티,https://smartstore.naver.com/exchangex,null
2024-서울성북-1368,서울특별시 성북구,(주)폭스에프앤비,640-81-03541,법인,박경아,'010-9978-4470,table487@naver.com,20241024,서울특별시 성북구 동소문동4가 75-2 부라다리빙텔  ,서울특별시 성북구 동소문로 47^ 부라다리빙텔 509호 (동소문동4가),정상영업,02-2241-3966,인터넷,건강/식품,쿠팡,null
2024-서울성북-1361,서울특별시 성북구,코모엔코주식회사,516-88-03155,법인,정준호,'010 - 2017 - 3956,ethan@como-nco.com,20241023,서울특별시 성북구 하월곡동 46-73 코업스타클래스  ,서울특별시 성북구 화랑로 76^ 코업스타클래스 101동 4층 409호 (하월곡동),정상영업,02-2241-3966,인터넷,종합몰,https://brand.naver.com/litenkulor,경기도 성남시 분당구 장미로 36^ 분당인터넷통신센터 KT-IDC 5층 2호 (야탑동)
2024-서울성북-1351,서울특별시 성북구,주식회사 메타디티엑스,650-87-02667,법인,양지원,'010 - 2936 - 1227,jwyang@metadtx.co.kr,20241022,서울특별시 성북구 하월곡동 39-1  ,서울특별시 성북구 화랑로14길 5^ 에이치-1 911C호 (하월곡동),정상영업,02-2241-3966,인터넷,종합몰,https://sell.smartstore.naver.com/,null
2024-서울성북-1356,서울특별시 성북구,주식회사 섬으로간나비,815-86-02781,법인,윤상원,'010 - 6350 - 1200,sumnavi@naver.com,20241022,서울특별시 성북구 동선동5가 38  ,서울특별시 성북구 동소문로23길 34^ 2층 201호 (동선동5가),정상영업,02-2241-3966,인터넷,레저/여행/공연 기타,쿠팡,null
2024-서울성북-1348,서울특별시 성북구,주식회사 바로구매,764-87-03679,법인,김수진,'010 - 4272 - 8666,kimsj@souldream.co.kr,20241021,서울특별시 성북구 하월곡동 46-73 코업스타클래스  ,서울특별시 성북구 화랑로 76^ 코업스타클래스 101동 608호 (하월곡동),정상영업,02-2241-3966,인터넷,종합몰,https://shop.coupang.com/A01276255,null
2024-서울성북-1334,서울특별시 성북구,코믹에이지,686-81-03120,법인,이진우,'010 - 7571 - 2454,hykim@comicage.io,20241017,서울특별시 성북구 장위동 65-154 성북벤처창업지원센터  ,서울특별시 성북구 화랑로 211^ 성북벤처창업지원센터 307호 (장위동),정상영업,02-2241-3966,인터넷,기타,https://www.frixel.io/,서울특별시 양천구 목동동로 233-5 (목동)
2024-서울성북-1332,서울특별시 성북구,아그로타타마,878-85-02510,법인,이은용,'02-590-8014,pkg@cspace.co.kr,20241016,서울특별시 성북구 돈암동 609-1 한신한진아파트  ,서울특별시 성북구 성북로4길 52^ 405동 1층 (돈암동^ 한신한진아파트),정상영업,02-2241-3966,인터넷,기타,쿠팡,null
2024-서울성북-1323,서울특별시 성북구,주식회사 나무와숲심리상담센터,328-87-01437,법인,신용우,'010 - 2665 - 0615,phck@hanmail.net,20241014,서울특별시 성북구 동선동1가 48 백옥빌딩  ,서울특별시 성북구 보문로34길 39^ 백옥빌딩 5층 (동선동1가),정상영업,02-2241-3966,인터넷,교육/도서/완구/오락 기타,https://sell.smartstore.naver.com,경기도 성남시 분당구 장미로 36^ 분당인터넷통신센터 KT-IDC 5층 2호 (야탑동)
2024-서울성북-1293,서울특별시 성북구,주식회사 에이피인터내셔널,369-88-03054,법인,권민서,'010 - 9521 - 9133,kms_3223@naver.com,20241002,서울특별시 성북구 안암동4가 28-1 경호빌딩  ,서울특별시 성북구 안암로 27-6^ 경호빌딩 3층 (안암동4가),정상영업,02-2241-3966,인터넷,의류/패션/잡화/뷰티,www.rosefrantz.com,서울특별시 양천구 목동동로 233-5^ KT ICC센터 3호 (목동)
2024-서울성북-1292,서울특별시 성북구,주식회사 오노그린즈,284-81-03564,법인,조한익,'010 - 5570 - 8020,bbd03564@naver.com,20241002,서울특별시 성북구 안암동5가 147-5 원영스위트  ,서울특별시 성북구 개운사길 27^ 원영스위트 101호 (안암동5가),정상영업,02-2241-3966,인터넷,종합몰,https://smartstore.naver.com/onogreean,null
2024-서울성북-1233,서울특별시 성북구,주식회사 비비엔엠(BB&M Inc.),267-88-02157,법인,LEE JAMES BHUMKYOUNG(이범경)^허시영,'02-3674-7773,contact@gallerybbm.com,20240913,서울특별시 성북구 성북동 110-8  ,서울특별시 성북구 성북로23길 10 (성북동),정상영업,02-2241-3966,인터넷,교육/도서/완구/오락,gallerybbm.shop.blogpay.co.kr,null
2024-서울성북-1207,서울특별시 성북구,(주)퍼시픽앤토비스,215-86-71829,법인,신현진,'010 - 3797 - 4444,iamjin@nate.com,20240906,서울특별시 성북구 동선동3가 52  ,서울특별시 성북구 동소문로28길 54^ 동선빌딩 B03호 (동선동3가),정상영업,02-2241-3966,인터넷,기타,http://www.알바천사.com,경기도 성남시 분당구 대왕판교로644번길 86^ KT동판교빌딩 3층 (삼평동)
2024-서울성북-1183,서울특별시 성북구,주식회사 유디클럽,690-86-03032,법인,류수현,'010 - 3452 - 6954,bs@eie.co,kr,20240902,서울특별시 성북구 안암동5가 1-2 고려대학교안암캠퍼스  ,서울특별시 성북구 안암로 145^ 고려대자연계캠퍼스 산학관 411-2호 (안암동5가),정상영업,02-2241-3966,인터넷 TV홈쇼핑 기타,건강/식품 의류/패션/잡화/뷰티,https://smartstore.naver.com/udtox,경기도 성남시 분당구 장미로 36^ 분당인터넷통신센터 KT-IDC 5층 2호 (야탑동)
2024-서울성북-1150,서울특별시 성북구,주식회사 에이디솔루션,666-81-03131,법인,박조은,'070 - 8064 - 1805,kitty8979@naver.com,20240826,서울특별시 성북구 정릉동 산 16-1 서경대학교 ?? ,서울특별시 성북구 서경로 124^ 서경대학교 유담관 16층 A-3호 (정릉동),정상영업,02-2241-3966,인터넷,건강/식품 의류/패션/잡화/뷰티,네이버 스마트스토어,null
2024-서울성북-1129,서울특별시 성북구,주식회사 알오비,371-86-03368,법인,이형헌,'010 - 9687 - 1387,official@robinc.co.kr,20240819,서울특별시 성북구 안암동4가 30-1  ,서울특별시 성북구 안암로 35^ 3층 (안암동4가),정상영업,02-2241-3966,인터넷,의류/패션/잡화/뷰티,https://www.musinsa.com/brand/asp?gf=A,null
2024-서울성북-1120,서울특별시 성북구,주식회사 휴서카디안,383-81-01674,법인,김린,'070 - 4249 - 8809,yuminkim@hucircadian.com,20240814,서울특별시 성북구 하월곡동 96-113 국방기술품질원 국방벤처센터  ,서울특별시 성북구 오패산로3길 12^ 국방기술품질원 국방벤처센터 BT-IT융합센터 502호 (하월곡동),정상영업,02-2241-3966,인터넷 기타,기타,https://hucircadian.com/,서울특별시 동작구 보라매로5길 15^ 전문건설회관빌딩 (신대방동)
2024-서울성북-1101,서울특별시 성북구,주식회사아이씨컴퍼니,323-88-03193,법인,박연효^김근희,'010 - 4491 - 2731,yeonhyo1@naver.com,20240809,서울특별시 성북구 삼선동3가 15  ,서울특별시 성북구 삼선교로 62^ 화성빌딩 1층 (삼선동3가),정상영업,02-2241-3966,인터넷,가전,https://smartstore.naver.com/icsolution,null
2024-서울성북-1096,서울특별시 성북구,(주)성신북스,776-87-03293,법인,김완수,'010 - 9913 - 0214,ssbooks1@naver.com,20240807,서울특별시 성북구 동선동4가 91 한국빌딩  ,서울특별시 성북구 아리랑로2길 15^ 한국빌딩 지하층 (동선동4가),정상영업,02-2241-3966,인터넷,기타,https://www.comicct.com/,서울특별시 강남구 선릉로111길 8^ 윙갤러리 빌딩 1층 (논현동)
2024-서울성북-1053,서울특별시 성북구,주식회사 더케미,157-87-02945,법인,김희정^나종태,'010 - 2580 - 2803,thechemi0724@naver.com,20240729,서울특별시 성북구 보문동4가 17  ,서울특별시 성북구 보문로 88^ 6층 (보문동4가),정상영업,02-2241-3966,인터넷,의류/패션/잡화/뷰티,https://thechemi.co.kr/,서울특별시 양천구 목동동로 233-5^ KT ICC센터3층 카페24(주) (목동)
2024-서울성북-1043,서울특별시 성북구,저스트코퍼레이션 주식회사,179-87-02912,법인,김대운^양창학^유병길,'010 - 7999 - 3900,david@justcorporation.kr,20240724,서울특별시 성북구 동소문동5가 15 성신여대역솔하임  ,서울특별시 성북구 보문로40길 11^ 504호 (동소문동5가^ 성신여대역솔하임),정상영업,02-2241-3966,인터넷,종합몰,www.chuckchuckjubu.com,서울특별시 강남구 논현로 508^ GS강남타워 12층 (역삼동)
2024-서울성북-1032,서울특별시 성북구,주식회사 코리아오앤드피,209-81-44486,법인,임규동,'010 - 5268 - 6169,kyudonglim@hanmail.net,20240723,서울특별시 성북구 안암동2가 122-5  ,서울특별시 성북구 고려대로 31^ 1층 (안암동2가),정상영업,02-2241-3966,인터넷,건강/식품,네이버 스마트스토어,null
2024-서울성북-0985,서울특별시 성북구,주식회사 새로그림,196-86-03151,법인,안소정,'010 - 9883 - 3455,a_publishing@naver.com,20240712,서울특별시 성북구 정릉동 298-4  ,서울특별시 성북구 보국문로 95^ 2층 208호 (정릉동),정상영업,02-2241-3966,인터넷,종합몰,G마켓,null
2024-서울성북-0935,서울특별시 성북구,주식회사 메디케어텍,247-81-02149,법인,전한용,'010 - 4225 - 7506,hychun@medicaretec.com,20240701,서울특별시 성북구 하월곡동 39-1  ,서울특별시 성북구 화랑로14길 5^ 한국과학기술연구원 에이치1동 933에이비호 (하월곡동),정상영업,02-2241-3966,인터넷,건강/식품 기타,https://sell.smartstore.naver.com,경기도 성남시 분당구 불정로 6^ 네이버 그린팩토리 2층 (정자동)
2024-서울성북-0934,서울특별시 성북구,주식회사 로지애드,814-81-02992,법인,박선영,'010 - 7760 - 4736,stby@parcelmedia.com,20240701,서울특별시 성북구 성북동 1-36  ,서울특별시 성북구 선잠로2길 82^ 2층 (성북동),정상영업,02-2241-3966,인터넷,기타,쿠팡,null
2024-서울성북-0912,서울특별시 성북구,주식회사 엘러건트(Elegant Co.^ Ltd.),111-87-03313,법인,편수빈,'010 - 2941 - 1187,contact@popupstay.co.kr,20240624,서울특별시 성북구 장위동 65-154 성북벤처창업지원센터  ,서울특별시 성북구 화랑로 211^ 성북벤처창업지원센터 3층 301호 (장위동),정상영업,02-2241-3966,인터넷 기타,레저/여행/공연,www.popupstay.co.kr,서울특별시 강남구 논현로 508^ GS강남타워 12층 (역삼동)
2024-서울성북-0910,서울특별시 성북구,카페마트 주식회사,434-81-03382,법인,신정연,'010 - 3089 - 6908,cafemartinc@naver.com,20240624,서울특별시 성북구 종암동 104-1 종암에스케이아파트  ,서울특별시 성북구 종암로24가길 53^ 제상가동 제지하층 비29호 (종암동^ 종암에스케이아파트),정상영업,02-2241-3966,인터넷,종합몰,네이버스마트스토어,null
2024-서울성북-0903,서울특별시 성북구,리홈크리스탈 주식회사 성북지점,125-85-68591,법인,김현수,'010 - 6704 - 5112,yjshin@lihomcrystal.com,20240620,서울특별시 성북구 안암동4가 7  ,서울특별시 성북구 안암로5길 40^ 6층 (안암동4가),정상영업,02-2241-3966,인터넷,종합몰,http://www.150life.com,서울특별시 금천구 가산디지털2로 184^ 벽산/경인디지털밸리2 904호 (가산동)
2024-서울성북-0865,서울특별시 성북구,오늘담은 주식회사,208-86-03468,법인,이정옥,'010 - 3439 - 3115,ond365@naver.com,20240612,서울특별시 성북구 동선동5가 159-1 천보빌라  ,서울특별시 성북구 아리랑로6가길 41^ 301호 (동선동5가^ 천보빌라),정상영업,02-2241-3966,인터넷 TV홈쇼핑,건강/식품,https://smartstore.naver.com/ond365,null
2024-서울성북-0855,서울특별시 성북구,주식회사 고앤두,722-88-03008,법인,김상애,'010 - 8893 - 4055,minpal8@naver.com,20240611,서울특별시 성북구 길음동 1285 길음7구역 두산위브아파트  ,서울특별시 성북구 길음로13길 22^ 상가124호 (길음동^ 길음7구역 두산위브아파트),정상영업,02-2241-3966,인터넷,종합몰,스마트스토어,null
2024-서울성북-0829,서울특별시 성북구,주식회사 킵스마일,746-81-02888,법인,이건중,'010 - 2955 - 3206,gunjoong.lee@keepsmile-inc.com,20240605,서울특별시 성북구 정릉동 산 16-1 서경대학교 ?? ,서울특별시 성북구 서경로 124^ 서경대학교 은주관 1층 8호 (정릉동),정상영업,02-2241-3966,인터넷 기타,기타,https://smartstore.naver.com/keepsmile-inc,null
2024-서울성북-0771,서울특별시 성북구,드라이빙존미아사거리학원타워점,730-85-01640,법인,노창현,'02-989-5500,nochang@daum.net,20240524,서울특별시 성북구 길음동 33-13  ,서울특별시 성북구 도봉로 25^ 3층 (길음동),정상영업,02-2241-3966,인터넷,기타,네이버스마트스토어,null
2024-서울성북-0708,서울특별시 성북구,법무법인 빛(성북지사),283-85-02139,법인,김경수,'010 - 6616 - 0728,sesil.kim@mybitt.com,20240514,서울특별시 성북구 동소문동5가 67-1 강윤빌딩  ,서울특별시 성북구 동소문로 92^ 강윤빌딩 9층 (동소문동5가),정상영업,02-2241-3966,인터넷,기타,네이버,null
